sku,name,category,family,description,price,margin,season,premium,copurchase_skus
SKU-0001,Trail Runner Core,footwear,trail-runner,reliable balanced everyday trail running shoe grippy sole stable technical terrain,133,0.42,winter,no,SKU-0006|SKU-0003|SKU-0007
SKU-0002,Trail Runner Pro,footwear,trail-runner,premium technical performance trail running shoe grippy sole stable technical terrain,183.1,0.37,shoulder,yes,SKU-0006|SKU-0020|SKU-0003
SKU-0003,Trail Runner Lite,footwear,trail-runner,minimal lightweight packable trail running shoe grippy sole stable technical terrain,151.02,0.36,summer,no,SKU-0001|SKU-0002|SKU-0009
SKU-0004,Trail Runner Eco,footwear,trail-runner,recycled durable lower impact trail running shoe grippy sole stable technical terrain,160.82,0.44,all-season,no,SKU-0008|SKU-0006|SKU-0005
SKU-0005,Road Tempo Core,footwear,road-tempo,reliable balanced everyday road running shoe responsive foam daily speed training,115.13,0.33,summer,no,SKU-0006|SKU-0012|SKU-0004
SKU-0006,Road Tempo Pro,footwear,road-tempo,premium technical performance road running shoe responsive foam daily speed training,165.92,0.44,summer,yes,SKU-0018|SKU-0002|SKU-0011
SKU-0007,Road Tempo Lite,footwear,road-tempo,minimal lightweight packable road running shoe responsive foam daily speed training,139.39,0.3,winter,no,SKU-0014|SKU-0001|SKU-0012
SKU-0008,Road Tempo Eco,footwear,road-tempo,recycled durable lower impact road running shoe responsive foam daily speed training,142.32,0.47,winter,no,SKU-0004|SKU-0019|SKU-0011
SKU-0009,Hike Ridge Core,footwear,hike-ridge,reliable balanced everyday waterproof hiking boot ankle support rugged mountain trail,167.7,0.45,winter,no,SKU-0003|SKU-0016|SKU-0002
SKU-0010,Hike Ridge Pro,footwear,hike-ridge,premium technical performance waterproof hiking boot ankle support rugged mountain trail,236.77,0.33,all-season,yes,SKU-0008|SKU-0006|SKU-0007
SKU-0011,Hike Ridge Lite,footwear,hike-ridge,minimal lightweight packable waterproof hiking boot ankle support rugged mountain trail,200.83,0.5,shoulder,no,SKU-0016|SKU-0006|SKU-0008
SKU-0012,Hike Ridge Eco,footwear,hike-ridge,recycled durable lower impact waterproof hiking boot ankle support rugged mountain trail,193.37,0.48,shoulder,no,SKU-0016|SKU-0005|SKU-0018
SKU-0013,City Step Core,footwear,city-step,reliable balanced everyday comfortable everyday sneaker lightweight urban travel,101.38,0.43,summer,no,SKU-0003|SKU-0016|SKU-0020
SKU-0014,City Step Pro,footwear,city-step,premium technical performance comfortable everyday sneaker lightweight urban travel,139.21,0.49,shoulder,yes,SKU-0007|SKU-0015|SKU-0016
SKU-0015,City Step Lite,footwear,city-step,minimal lightweight packable comfortable everyday sneaker lightweight urban travel,116.99,0.32,summer,no,SKU-0014|SKU-0018|SKU-0011
SKU-0016,City Step Eco,footwear,city-step,recycled durable lower impact comfortable everyday sneaker lightweight urban travel,133.34,0.54,all-season,no,SKU-0011|SKU-0012|SKU-0013
SKU-0017,Recovery Slide Core,footwear,recovery-slide,reliable balanced everyday soft recovery sandal cushioned post workout comfort,61.75,0.4,summer,no,SKU-0020|SKU-0004|SKU-0016
SKU-0018,Recovery Slide Pro,footwear,recovery-slide,premium technical performance soft recovery sandal cushioned post workout comfort,82.2,0.33,winter,yes,SKU-0006|SKU-0015|SKU-0011
SKU-0019,Recovery Slide Lite,footwear,recovery-slide,minimal lightweight packable soft recovery sandal cushioned post workout comfort,74.54,0.42,shoulder,no,SKU-0008|SKU-0001|SKU-0006
SKU-0020,Recovery Slide Eco,footwear,recovery-slide,recycled durable lower impact soft recovery sandal cushioned post workout comfort,74.78,0.43,all-season,no,SKU-0002|SKU-0018|SKU-0013
SKU-0021,Alpine Shell Core,jackets,alpine-shell,reliable balanced everyday waterproof breathable mountain shell wet weather protection,250.77,0.47,shoulder,no,SKU-0023|SKU-0025|SKU-0036
SKU-0022,Alpine Shell Pro,jackets,alpine-shell,premium technical performance waterproof breathable mountain shell wet weather protection,357.14,0.44,winter,yes,SKU-0040|SKU-0026|SKU-0036
SKU-0023,Alpine Shell Lite,jackets,alpine-shell,minimal lightweight packable waterproof breathable mountain shell wet weather protection,305.88,0.31,winter,no,SKU-0036|SKU-0040|SKU-0021
SKU-0024,Alpine Shell Eco,jackets,alpine-shell,recycled durable lower impact waterproof breathable mountain shell wet weather protection,325.44,0.39,winter,no,SKU-0031|SKU-0035|SKU-0032
SKU-0025,Down Summit Core,jackets,down-summit,reliable balanced everyday warm insulated down jacket cold alpine conditions,285.92,0.4,summer,no,SKU-0029|SKU-0021|SKU-0038
SKU-0026,Down Summit Pro,jackets,down-summit,premium technical performance warm insulated down jacket cold alpine conditions,406.7,0.46,winter,yes,SKU-0022|SKU-0036|SKU-0030
SKU-0027,Down Summit Lite,jackets,down-summit,minimal lightweight packable warm insulated down jacket cold alpine conditions,337.46,0.49,shoulder,no,SKU-0040|SKU-0033|SKU-0023
SKU-0028,Down Summit Eco,jackets,down-summit,recycled durable lower impact warm insulated down jacket cold alpine conditions,361.84,0.55,shoulder,no,SKU-0036|SKU-0025|SKU-0027
SKU-0029,Fleece Grid Core,jackets,fleece-grid,reliable balanced everyday breathable grid fleece midlayer hiking climbing,133.16,0.4,all-season,no,SKU-0031|SKU-0025|SKU-0037
SKU-0030,Fleece Grid Pro,jackets,fleece-grid,premium technical performance breathable grid fleece midlayer hiking climbing,187.1,0.36,winter,yes,SKU-0035|SKU-0026|SKU-0024
SKU-0031,Fleece Grid Lite,jackets,fleece-grid,minimal lightweight packable breathable grid fleece midlayer hiking climbing,157.58,0.48,summer,no,SKU-0036|SKU-0029|SKU-0024
SKU-0032,Fleece Grid Eco,jackets,fleece-grid,recycled durable lower impact breathable grid fleece midlayer hiking climbing,156.7,0.38,winter,no,SKU-0035|SKU-0024|SKU-0023
SKU-0033,Wind Sprint Core,jackets,wind-sprint,reliable balanced everyday light packable wind jacket running exposed ridges,97.31,0.44,winter,no,SKU-0022|SKU-0027|SKU-0040
SKU-0034,Wind Sprint Pro,jackets,wind-sprint,premium technical performance light packable wind jacket running exposed ridges,148.77,0.42,summer,yes,SKU-0024|SKU-0021|SKU-0023
SKU-0035,Wind Sprint Lite,jackets,wind-sprint,minimal lightweight packable light packable wind jacket running exposed ridges,124.89,0.48,winter,no,SKU-0037|SKU-0030|SKU-0032
SKU-0036,Wind Sprint Eco,jackets,wind-sprint,recycled durable lower impact light packable wind jacket running exposed ridges,133.09,0.51,shoulder,no,SKU-0023|SKU-0028|SKU-0031
SKU-0037,Rain City Core,jackets,rain-city,reliable balanced everyday waterproof commuter rain jacket clean urban styling,190.71,0.38,winter,no,SKU-0035|SKU-0029|SKU-0040
SKU-0038,Rain City Pro,jackets,rain-city,premium technical performance waterproof commuter rain jacket clean urban styling,260.09,0.56,shoulder,yes,SKU-0029|SKU-0025|SKU-0022
SKU-0039,Rain City Lite,jackets,rain-city,minimal lightweight packable waterproof commuter rain jacket clean urban styling,220.04,0.31,all-season,no,SKU-0024|SKU-0027|SKU-0026
SKU-0040,Rain City Eco,jackets,rain-city,recycled durable lower impact waterproof commuter rain jacket clean urban styling,243.53,0.31,shoulder,no,SKU-0023|SKU-0022|SKU-0037
SKU-0041,Merino Base Core,apparel,merino-base,reliable balanced everyday soft merino wool base layer cool weather hiking,96.96,0.46,all-season,no,SKU-0043|SKU-0047|SKU-0059
SKU-0042,Merino Base Pro,apparel,merino-base,premium technical performance soft merino wool base layer cool weather hiking,136.27,0.45,all-season,yes,SKU-0055|SKU-0053|SKU-0050
SKU-0043,Merino Base Lite,apparel,merino-base,minimal lightweight packable soft merino wool base layer cool weather hiking,107.85,0.53,summer,no,SKU-0041|SKU-0059|SKU-0055
