customer_id,region,acquisition_channel,membership_tier,preferred_category,tenure_months,orders,spend,avg_basket,discount_share,return_rate,support_tickets,days_since_order,email_engagement,satisfaction_score,lifetime_value,churned,latent_segment,recommended_action
C-00001,Western Australia,search,none,apparel,14,13,1123.49,86.42,0.217,0.127,1,39,0.534,8.5,1415.6,0,Frequent-regulars,Free shipping threshold reminder
C-00002,New South Wales,paid-social,gold,footwear,33,29,5075.08,175,0.18,0.036,2,6,0.856,10,7358.87,0,VIP-loyalists,Early access and premium bundle
C-00003,New South Wales,referral,gold,jackets,31,17,2364.76,139.1,0.111,0.028,2,21,0.607,7.8,3381.61,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00004,South Australia,referral,none,packs,29,9,760.81,84.53,0.083,0.053,1,25,0.45,6.8,1072.74,0,Frequent-regulars,Free shipping threshold reminder
C-00005,Queensland,paid-social,bronze,jackets,31,5,404.21,80.84,0.405,0.157,1,142,0.244,6.2,578.02,1,Lapsing-customers,Win-back offer with service recovery
C-00006,Tasmania,search,none,accessories,7,4,234.5,58.63,0.132,0.123,2,13,0.64,8.3,279.06,0,Emerging-shoppers,Second-purchase education sequence
C-00007,Tasmania,retail-store,none,jackets,2,4,258.87,64.72,0.36,0.107,2,23,0.495,7.5,295.11,0,Emerging-shoppers,Second-purchase education sequence
C-00008,Queensland,organic,bronze,camp,25,6,423.33,70.56,0.35,0.171,2,111,0.222,5.9,579.96,1,Lapsing-customers,Win-back offer with service recovery
C-00009,Tasmania,referral,none,jackets,2,5,349.21,69.84,0.343,0.059,1,17,0.548,9.7,398.1,0,Emerging-shoppers,Second-purchase education sequence
C-00010,Western Australia,search,bronze,hydration,28,10,792.91,79.29,0.251,0.095,2,35,0.642,8.3,1110.07,0,Frequent-regulars,Free shipping threshold reminder
C-00011,Western Australia,retail-store,none,recovery,19,2,126.54,63.27,0.242,0.039,2,21,0.599,7.4,165.77,0,Emerging-shoppers,Second-purchase education sequence
C-00012,South Australia,paid-social,none,accessories,32,17,1367.75,80.46,0.184,0.113,2,25,0.593,6.7,1969.56,0,Frequent-regulars,Free shipping threshold reminder
C-00013,Tasmania,paid-social,none,camp,25,13,1042.97,80.23,0.17,0.085,0,37,0.407,8.3,1428.87,0,Frequent-regulars,Free shipping threshold reminder
C-00014,Western Australia,retail-store,none,hydration,16,11,847.94,77.09,0.132,0.089,4,31,0.611,7.9,1085.36,0,Frequent-regulars,Free shipping threshold reminder
C-00015,South Australia,retail-store,none,accessories,3,7,466.86,66.69,0.324,0.044,2,21,0.647,7.5,536.89,0,Emerging-shoppers,Second-purchase education sequence
